state,frame.time_delta,frame.len,ip.proto,ip.len,ip.ttl,tcp.len,tcp.window_size,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1,0.000001,693,6,675,32,623,27512,64735,443,,
1,0.000001,70,6,52,32,0,24616,22038,443,,
1,0,70,6,52,32,0,30408,443,64942,,
1,0,70,6,52,32,0,24616,17389,443,,
1,0,70,6,52,32,0,65535,443,22725,,
1,0.000001,70,6,52,32,0,65535,43115,443,,
1,0.000003,70,6,52,32,0,30408,443,48505,,
1,0,70,6,52,32,0,65535,443,21652,,
1,0,70,6,52,32,0,8688,1345,80,,
1,0.000004,993,6,975,32,923,30408,443,11682,,
1,0.000001,70,6,52,32,0,23168,443,32007,,
1,0,70,6,52,32,0,31856,443,5423,,
1,0,70,6,52,32,0,31856,50284,443,,
1,0.000001,70,6,52,32,0,31856,443,58664,,
1,0.000002,70,6,52,32,0,31856,443,1094,,
1,0,70,6,52,32,0,7240,80,1458,,
1,0,70,6,52,32,0,7240,80,1345,,
1,0,693,6,675,32,623,27512,32279,443,,
1,0.000001,70,6,52,32,0,24616,33031,443,,
1,0.000002,70,6,52,32,0,31856,443,5404,,
1,0.000001,70,6,52,32,0,23168,443,60146,,
1,0.000001,70,6,52,32,0,65535,443,52413,,
1,0,1456,6,1438,32,1386,30408,31876,443,,
1,0.000001,70,6,52,32,0,65535,55421,443,,
1,0.000001,70,6,52,32,0,7240,80,18581,,
1,0,70,6,52,32,0,5792,49023,80,,
1,0.000001,74,6,56,32,0,5792,80,25789,,
1,0.000003,70,6,52,32,0,24616,41796,443,,
1,0.000001,70,6,52,32,0,7240,80,20276,,
1,0,70,6,52,32,0,65535,443,52028,,
1,0.000002,70,6,52,32,0,30408,61563,443,,
1,0.000001,470,6,452,32,400,65535,443,52590,,
1,0,70,6,52,32,0,30408,443,64735,,
1,0.000001,70,6,52,32,0,7240,80,4568,,
1,0,70,6,52,32,0,65535,443,20507,,
1,0,70,6,52,32,0,65535,3243,443,,
1,0.000002,70,6,52,32,0,65535,443,63735,,
1,0.000001,70,6,52,32,0,65535,443,38008,,
1,0.000002,70,6,52,32,0,65535,443,55421,,
1,-0.000001,1439,6,1421,32,1369,23168,49466,443,,
1,0.000001,70,6,52,32,0,65535,11593,443,,
1,0,70,6,52,32,0,65535,57618,443,,
1,0,74,6,56,32,0,5792,31516,80,,
1,0,74,6,56,32,0,5792,80,32892,,
1,0.000003,70,6,52,32,0,24616,45783,443,,
1,0,70,6,52,32,0,23168,443,33031,,
1,0.000001,70,6,52,32,0,30408,11682,443,,
1,0.000001,70,6,52,32,0,31856,443,52427,,
1,0,70,6,52,32,0,23168,443,32285,,
1,0,70,6,52,32,0,65535,443,29433,,
1,0.000002,693,6,675,32,623,27512,21737,443,,
1,0.000001,70,6,52,32,0,65535,50919,443,,
1,0.000001,70,6,52,32,0,7240,80,36424,,
1,0.000003,70,6,52,32,0,65535,443,11593,,
1,0,70,6,52,32,0,65535,443,60425,,
1,0.000001,70,6,52,32,0,30408,37116,443,,
1,0.000002,70,6,52,32,0,31856,443,31876,,
1,0.000001,70,6,52,32,0,65535,29139,443,,
1,0.000004,70,6,52,32,0,31856,55285,443,,
1,-0.000001,831,6,813,32,761,31856,443,36271,,
1,0.000004,70,6,52,32,0,31856,443,1321,,
1,0.000002,470,6,452,32,400,65535,443,10734,,
1,0,878,6,860,32,808,65535,17693,443,,
1,0,70,6,52,32,0,8688,10386,80,,
1,0,70,6,52,32,0,31856,443,59626,,
1,0.000001,70,6,52,32,0,23168,443,64739,,
1,0.000001,70,6,52,32,0,7240,80,20041,,
1,0.000001,70,6,52,32,0,65535,1229,443,,
1,0.000001,70,6,52,32,0,31856,443,16561,,
1,0.000002,831,6,813,32,761,31856,443,9414,,
1,0,70,6,52,32,0,7240,80,40103,,
1,0.000002,70,6,52,32,0,23168,443,50835,,
1,0.000001,70,6,52,32,0,7240,80,41259,,
1,0.000003,70,6,52,32,0,23168,443,17389,,
1,0,1298,6,1280,32,1228,5792,49023,80,,
1,0.000001,70,6,52,32,0,65535,7674,443,,
1,0,70,6,52,32,0,65535,52590,443,,
1,0.000002,70,6,52,32,0,31856,52427,443,,
