1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,2459,4,0,2,13,2,22,3,0,0,0,0,0,0,10010,23,6159155866,2659,38,34,87511533758
0,3002,4,1,2,3,2,17,0,0,0,0,0,0,0,11467,41,7097719192,2951,42,43,1.06E+11
0,3076,2,0,0,4,0,24,1,0,1,0,0,0,0,10277,32,6254076878,2940,41,43,99581389194
0,2788,0,3,0,15,0,11,3,0,1,0,0,0,0,10315,36,6477710320,2653,56,55,1.04E+11
0,2586,0,6,0,14,0,11,0,0,0,0,0,0,0,10919,48,6773037945,2699,50,51,93377888512
0,2857,0,0,0,5,0,3,1,0,0,0,0,0,0,10804,41,6689229997,2705,43,43,1.07E+11
0,2329,0,1,0,5,0,3,1,0,1,0,0,0,0,9462,29,5950921925,2530,38,39,84575203302
0,2737,3,0,1,20,1,4,2,0,0,0,0,0,0,10156,40,6325059066,2538,44,38,99099227090
0,2989,3,0,1,20,1,10,1,0,0,0,0,0,0,12379,42,7937739654,3355,64,61,1.08E+11
0,2737,3,0,1,40,1,10,3,0,1,0,0,0,0,8360,25,5474548138,2330,48,54,97779232714
0,2047,0,3,0,49,0,9,2,0,0,0,0,0,0,7723,29,4823942909,2013,38,36,74433804132
0,2266,2,0,2,12,2,5,0,0,0,0,0,0,0,9376,28,5578675605,2332,39,44,80122398126
0,2881,2,1,2,3,2,5,2,0,0,0,0,0,0,11028,47,7089272015,2928,46,41,1.03E+11
0,2459,19,0,4,9,9,29,1,0,1,0,0,0,0,9653,21,5887315858,2450,29,33,84777812968
0,2784,17,6,8,9,7,31,2,0,0,0,0,0,0,10421,54,6549246147,2658,60,61,1.01E+11
0,2493,17,0,8,5,7,31,1,0,0,0,0,0,0,11385,23,6273196636,2693,45,43,92461104690
0,2645,0,0,6,5,0,26,4,0,1,0,0,0,0,9008,53,6507122466,2580,38,40,96788942732
0,2702,1,1,0,12,2,22,0,0,0,0,0,0,0,10044,43,6181723232,2580,47,47,1.02E+11
